Latitude,Longitude,SampleDateUTC,Year,Month,Day,Time_24hr,Region,Route,BioRegion,ZoopAbundance_m3,CopeAbundance_m3,AvgTotalLengthCopepod_mm,HerbivoreCarnivoreCopepodRatio,Biomass_mgCarbon_m3,NoCopepodSpecies_Sample,ShannonCopepodDiversityCPR,CopepodEvenness,PhytoBiomassCarbon_pg_m3,AbundancePhyto_cells_m3,DiatomDinoflagellateRatio,AvgCellVol_um3,NoPhytoSpecies_Sample,ShannonPhytoDiversitycpr,PhytoEvenness,NoDiatomSpecies_Sample,ShannonDiatomDiversitycpr,DiatomEvenness,NoDinoSpecies_Sample,ShannonDinoDiversitycpr,DinoflagellateEvenness,sst_1d,chl_oc3_1d
-61.2822,149.878,2009-02-15T04:48:00Z,2009,2,15,04:48:00,SO,ANHO,NA,40,40,1.147248125,NA,NA,3,1.01140426470735,0.920619835714305,140249136.775844,66666.6,NA,64052.9037789038,2,0.206190609447386,0.297470169727617,2,0.206190609447386,0.297470169727617,NA,NA,NA,NA,NA
-63.5849,142.9553,2007-12-21T04:58:00Z,2007,12,21,04:58:00,SO,HOAN,NA,38.0001,34,0.911866191176471,NA,NA,1,0,NA,195290423.55421,190666.6,NA,31042.3099077424,2,0.592953045442217,0.855450418139494,1,0,NA,NA,NA,NA,NA,NA
-63.9183,142.9921,2007-12-21T06:29:00Z,2007,12,21,06:29:00,SO,HOAN,NA,36,26,0.874358076923077,NA,NA,NA,NA,NA,238602360.476133,170666.6,NA,41862.4727783097,4,1.0496345974031,0.757151314209469,3,0.837896230992126,0.762686017291815,NA,NA,NA,NA,NA
-64.2524,143.0535,2007-12-21T08:01:00Z,2007,12,21,08:01:00,SO,HOAN,NA,0.6667,NA,NA,NA,NA,NA,NA,NA,8577063.35631519,40666.6,NA,3594.90472313616,2,0.693147180559945,1,1,0,NA,NA,NA,NA,NA,NA
-63.2677,139.8854,2008-01-21T09:46:00Z,2008,1,21,09:46:00,SO,ANHO,NA,0,NA,NA,NA,NA,1,0,NA,130051508.185431,57333.4,NA,83526.8732464168,4,1.35178272115203,0.975105114082713,4,1.35178272115203,0.975105114082713,NA,NA,NA,NA,NA
-62.5405,140.2824,2008-01-21T14:38:00Z,2008,1,21,14:38:00,SO,ANHO,NA,0.6667,0.6667,1,NA,NA,NA,NA,NA,107849564.060068,47333.4,NA,84991.1958864318,2,0.636511857779211,0.918292500685089,2,0.636511857779211,0.918292500685089,NA,NA,NA,NA,NA
-62.2956,140.3821,2008-01-21T15:56:00Z,2008,1,21,15:56:00,SO,ANHO,NA,0,NA,NA,NA,NA,NA,NA,NA,66475910.4692052,36666.5,0.909091404960932,51473.822547299496,2,0.562333084706242,0.811275152633489,1,0,NA,1,0,NA,NA,NA
-61.9655,140.5018,2008-01-21T17:38:00Z,2008,1,21,17:38:00,SO,ANHO,NA,37.3334,30.6667,1.13,NA,NA,NA,NA,NA,78841527.5830269,90000,NA,28506.2224333333,1,0,NA,1,0,NA,NA,NA,NA,NA,NA
-60.3339,141.1231,2008-01-22T01:16:00Z,2008,1,22,01:16:00,SO,ANHO,NA,45.3335,30.6668,1.04195618714701,NA,NA,1,0,NA,7515090.60152393,36666.6,NA,4586.95639560254,1,0,NA,1,0,NA,NA,NA,NA,NA,NA
-59.9907,142.5254,2007-12-20T09:05:00Z,2007,12,20,09:05:00,SO,HOAN,NA,39.3334,39.3334,1.06305025754194,NA,NA,NA,NA,NA,6996466.42915011,19999.9,NA,8163.1013405067,1,0,NA,1,0,NA,NA,NA,NA,NA,NA
-62.1714,142.7742,2007-12-20T21:55:00Z,2007,12,20,21:55:00,SO,HOAN,NA,121.3334,100,1.074700365,NA,NA,2,0.636514168294813,0.918295834054489,97800119.0773147,107333.3,NA,28653.9259654014,2,0.325080995882851,0.468992740647435,1,0,NA,NA,NA,NA,NA,NA
